requested_mask_source,actual_mask_source,sample_id,object_type,mask_pixel_count,mask_bbox,center_pred_world_m,center_gt_world_m,error_l2_mm,depth_rmse_m,valid_depth_ratio
projected_bbox_fallback,projected_bbox_fallback,cube_000001,cube,2491,"[323, 184, 369, 236]","[0.537522554397583, 0.19646300375461578, 0.039265818893909454]","[0.5375286340713501, 0.19860689342021942, 0.03999999910593033]",2.266124589368701,0.0,1.0
native_bbox_2d_tight,native_bbox_2d_tight,cube_000001,cube,2444,"[320, 180, 371, 226]","[0.5371137261390686, 0.1996820718050003, 0.048840150237083435]","[0.5375286340713501, 0.19860689342021942, 0.03999999910593033]",8.914955891668797,0.0,1.0
native_semantic,native_semantic,cube_000001,cube,2845,"[318, 178, 373, 228]","[0.5364325046539307, 0.20032638311386108, 0.04869195818901062]","[0.5375286340713501, 0.19860689342021942, 0.03999999910593033]",8.927950635552406,0.0,1.0
native_instance,native_instance,cube_000001,cube,2845,"[318, 178, 373, 228]","[0.5364325046539307, 0.20032638311386108, 0.04869195818901062]","[0.5375286340713501, 0.19860689342021942, 0.03999999910593033]",8.927950635552406,0.0,1.0
native_instance_id,native_instance_id,cube_000001,cube,2845,"[318, 178, 373, 228]","[0.5364325046539307, 0.20032638311386108, 0.04869195818901062]","[0.5375286340713501, 0.19860689342021942, 0.03999999910593033]",8.927950635552406,0.0,1.0
