sample_id,object_type,backend,native_capture_method,mask_source,segmentation_available,depth_source,requested_depth_source,method,center_camera_m,center_world_m,center_base_m,center_pred_camera_m,center_pred_world_m,center_pred_base_m,gt_center_world_m,gt_center_base_m,center_gt_world_m,error_x_m,error_y_m,error_z_m,error_l2_m,error_l2_mm,depth_mae_m,depth_rmse_m,valid_depth_ratio,mask_point_count,center_pixel_u,center_pixel_v,foundation_stereo_runtime_ms
cube_000001,cube,synthetic_rectified_stereo,,,,gt_depth,gt,pointcloud_median,"[0.19846273958683014, 0.08778159320354462, 0.7633182406425476]","[0.5381389856338501, 0.19846273958683014, 0.03983723372220993]","[0.5381389856338501, 0.19846273958683014, 0.03983723372220993]","[0.19846273958683014, 0.08778159320354462, 0.7633182406425476]","[0.5381389856338501, 0.19846273958683014, 0.03983723372220993]","[0.5381389856338501, 0.19846273958683014, 0.03983723372220993]","[0.5375286340713501, 0.19860689342021942, 0.03999999910593033]","[0.5375286340713501, 0.19860689342021942, 0.03999999910593033]","[0.5375286340713501, 0.19860689342021942, 0.03999999910593033]",0.0006103515625,-0.00014415383338928223,-0.00016276538372039795,0.0006479212315753102,0.6479212315753102,0.0,0.0,1.0,4624,475.5,308.5,0.0
cylinder_000001,cylinder,synthetic_rectified_stereo,,,,gt_depth,gt,pointcloud_median,"[0.18650920689105988, -0.012177577242255211, 0.7691101431846619]","[0.44006261229515076, 0.18650920689105988, 0.05999663844704628]","[0.44006261229515076, 0.18650920689105988, 0.05999663844704628]","[0.18650920689105988, -0.012177577242255211, 0.7691101431846619]","[0.44006261229515076, 0.18650920689105988, 0.05999663844704628]","[0.44006261229515076, 0.18650920689105988, 0.05999663844704628]","[0.4400498867034912, 0.18677672743797302, 0.05999999865889549]","[0.4400498867034912, 0.18677672743797302, 0.05999999865889549]","[0.4400498867034912, 0.18677672743797302, 0.05999999865889549]",1.2725591659545898e-05,-0.00026752054691314697,-3.3602118492126465e-06,0.00026784412330016494,0.26784412330016494,0.0,0.0,1.0,3706,465.0,230.0,0.0
sphere_000001,sphere,synthetic_rectified_stereo,,,,gt_depth,gt,pointcloud_median,"[-0.13718119263648987, 0.13091720640659332, 0.7516777515411377]","[0.5828174948692322, -0.13718119263648987, 0.039970241487026215]","[0.5828174948692322, -0.13718119263648987, 0.039970241487026215]","[-0.13718119263648987, 0.13091720640659332, 0.7516777515411377]","[0.5828174948692322, -0.13718119263648987, 0.039970241487026215]","[0.5828174948692322, -0.13718119263648987, 0.039970241487026215]","[0.5827057361602783, -0.1373964101076126, 0.03999999910593033]","[0.5827057361602783, -0.1373964101076126, 0.03999999910593033]","[0.5827057361602783, -0.1373964101076126, 0.03999999910593033]",0.00011175870895385742,0.0002152174711227417,-2.975761890411377e-05,0.00024432374630123377,0.24432374630123377,0.0,0.0,1.0,2963,210.0,344.0,0.0
